Student Name,Effort Level (Dream Company),Effort Level (Multiple Companies),Probability of Selection (Dream Company),Probability of Selection (Multiple Companies),Payoff (Dream Company),Payoff (Multiple Companies),Outcome (Optimal Strategy)
Student A,70,30,0.7777777777777778,0.15,70.77777777777779,4.5,Dream
Student B,60,40,0.6666666666666666,0.2,60.66666666666666,6.0,Dream
Student C,80,20,0.8888888888888888,0.1,80.88888888888889,3.0,Dream
Student D,55,45,0.6111111111111112,0.225,55.611111111111114,6.75,Dream
Student E,75,25,0.8333333333333334,0.125,75.83333333333334,3.75,Dream
Student F,90,10,1.0,0.05,91.0,1.5,Dream
Student G,85,15,0.9444444444444444,0.075,85.94444444444444,2.25,Dream
Student H,65,35,0.7222222222222222,0.175,65.72222222222221,5.25,Dream
Student I,50,50,0.5555555555555556,0.25,50.55555555555556,7.5,Dream
Student J,40,60,0.4444444444444444,0.3,40.44444444444444,9.0,Dream
