Experiment,Initial Price Lohit,Initial Price Disang,Final Price Lohit,Final Price Disang,Profit Lohit,Profit Disang
1,38.24565360308265,27.223340668632456,50.0,50.0,4202.289255630972,3876.090381173188
2,17.790852549742805,37.24484541745589,50.0,50.0,3917.7698936555075,4308.472580449373
3,31.767214293437714,18.125865040173426,50.0,50.0,3798.649184882615,4034.616824371065
4,25.396598934719602,47.15264133914674,50.0,50.0,3436.1161252093043,3892.3455355245296
5,35.365817981579795,20.287181329625547,50.0,50.0,3933.436970912548,3812.382039383651
6,38.131213477566384,29.872936195853548,50.0,50.0,3166.303715407572,3914.0044742358496
7,27.458617889639175,25.73871708592291,50.0,50.0,3434.583513666864,4383.8176611989575
8,24.682116576580356,30.620421997411928,50.0,50.0,3695.0132953077227,3499.293865557081
9,41.55232685661409,15.575211707563783,50.0,50.0,4138.858638278412,3961.9343655546973
10,23.0137850759866,23.7773672680404,50.0,50.0,3607.4519442591923,3488.382183196397
